,Acc_SA,F1_SA,F1_ESA,F1_ISA,default,mode
0,70.667,68.385,61.217,56.303,68.385,valid
1,72.0,70.91,66.44,57.619,70.91,valid
2,70.667,68.458,59.389,55.951,68.458,valid
3,70.0,68.294,70.123,52.261,68.294,valid
4,68.667,67.41,67.71,54.48,67.41,valid
5,66.0,64.101,61.851,52.28,64.101,valid
6,72.667,71.556,68.639,58.105,71.556,valid
7,68.0,65.806,68.62,51.82,65.806,valid
8,72.667,71.178,80.291,49.53,71.178,valid
9,67.333,66.323,71.94,49.644,66.323,valid
10,68.0,66.698,71.385,51.296,66.698,valid
11,74.667,73.492,81.172,51.833,73.492,valid
12,74.0,72.417,78.96,53.377,72.417,valid
13,71.333,70.106,72.954,56.224,70.106,valid
14,71.333,70.033,71.442,56.036,70.033,valid
15,74.0,73.545,71.94,60.76,73.545,valid
16,72.667,71.264,74.951,57.552,71.264,valid
17,74.0,72.71,76.802,58.33,72.71,valid
18,75.333,74.188,78.874,59.852,74.188,valid
19,75.333,74.188,78.874,59.852,74.188,valid
20,84.643,77.134,76.556,64.017,77.134,test
21,84.643,77.134,76.556,64.017,77.134,test
